particle,frames_tracked,mean_speed(px/s),total_displacement(px),mean_squared_displacement(px²),directional_persistence,mean_turn_angle(deg)
536,3,73.583,28.789,279.196,0.91,99.66
537,11,30.325,31.755,42.299,0.664,95.66
538,6,28.218,6.083,22.489,0.251,86.76
541,3,66.214,12.8,98.818,0.45,76.27
543,8,62.018,28.447,118.835,0.4,84.87
544,4,37.345,17.128,43.971,0.8,72.97
545,7,77.95,38.872,199.109,0.497,69.12
546,9,38.046,22.123,60.375,0.451,105.26
548,5,25.884,3.89,20.827,0.21,104.76
550,8,58.394,20.999,119.88,0.314,91.63
551,7,83.757,8.091,190.675,0.096,105.11
552,7,61.652,45.752,102.232,0.74,46.9
553,6,27.849,13.798,21.477,0.576,98.97
555,9,40.67,18.895,54.677,0.36,79.72
556,10,33.86,23.742,29.525,0.489,35.55
557,6,50.79,16.799,86.351,0.385,95.81
558,5,65.183,23.781,110.357,0.509,77.14
560,5,76.542,25.306,153.366,0.462,66.88
561,9,60.828,42.893,100.085,0.547,46.07
562,9,69.215,11.43,145.691,0.128,61.92
564,6,60.269,27.951,130.135,0.54,78.0
565,6,52.792,9.782,67.197,0.216,82.23
566,7,36.788,18.747,44.359,0.508,79.81
567,8,51.285,34.825,65.046,0.592,68.36
568,4,7.268,3.162,1.51,0.759,13.7
571,6,67.39,18.084,132.662,0.312,78.08
572,8,40.08,17.487,42.522,0.381,120.18
573,3,103.482,27.823,274.734,0.626,55.13
578,5,14.965,5.988,5.593,0.559,115.08
579,6,23.624,12.272,20.312,0.604,68.89
581,3,57.549,3.354,91.669,0.136,148.73
582,5,69.33,34.826,130.643,0.701,74.27
584,5,90.484,18.995,237.481,0.293,132.58
585,4,44.95,18.357,50.01,0.713,37.32
587,4,57.278,9.3,133.875,0.283,39.63
588,5,33.292,17.114,42.437,0.718,46.91
589,3,57.518,2.828,71.944,0.114,140.71
590,4,52.437,14.927,82.69,0.497,45.05
591,6,28.085,16.843,19.899,0.698,41.34
592,6,17.589,6.119,9.352,0.405,126.0
593,6,68.746,32.256,119.973,0.546,55.62
595,5,14.772,5.444,5.951,0.514,129.45
604,5,29.842,15.161,29.41,0.709,61.21
605,4,64.243,5.614,110.66,0.152,119.27
607,5,39.161,14.272,41.851,0.509,80.0
608,4,38.451,16.457,55.748,0.747,76.73
609,5,38.72,16.891,40.549,0.609,81.77
611,3,49.229,12.098,60.721,0.572,11.3
612,4,85.34,16.094,225.076,0.329,144.81
614,4,33.05,5.397,32.233,0.285,91.34
615,3,80.044,27.041,271.128,0.786,153.69
619,3,74.651,15.748,150.621,0.491,27.6
620,3,89.229,28.463,185.102,0.742,66.62
623,3,68.402,12.687,132.5,0.432,58.49
632,3,85.468,22.749,206.39,0.619,49.95
633,3,26.724,9.84,30.394,0.857,121.34
635,3,79.793,15.06,166.7,0.439,98.37
636,3,34.29,8.486,26.709,0.576,80.23
637,3,36.909,1.334,56.056,0.084,93.89
