frame,x,y,particle
18,457.6666666666667,111.41666666666667,37
19,126.23676880222841,465.7576601671309,40
19,294.6666666666667,200.0,28
19,283.0,199.17391304347825,19
19,282.0,113.0,30
19,458.0,112.0,37
19,284.0,102.0,33
19,121.0,101.0,31
19,117.0,91.5,43
19,125.0,46.0,27
19,282.0,108.0,44
20,114.0,109.0,47
20,295.0,203.76470588235293,28
20,283.30882352941177,202.05882352941177,19
20,132.0,162.0,45
20,281.8,103.58,44
20,125.17777777777778,42.06666666666667,27
20,117.5,93.5,43
20,286.3611111111111,82.83333333333333,33
20,113.5,33.0,46
20,127.51535836177474,468.358361774744,40
20,125.09677419354838,94.93548387096774,31
21,289.4,229.6,49
21,294.21875,205.08333333333334,28
21,133.76865671641792,470.5,40
21,121.94444444444444,475.3888888888889,48
21,282.7348066298343,213.707182320442,19
21,186.43478260869566,308.60869565217394,50
21,128.0,132.0,51
21,114.2183908045977,33.252873563218394,46
21,124.23404255319149,41.638297872340424,27
21,132.33333333333334,163.16666666666666,45
21,113.88888888888889,112.33333333333333,47
21,281.3333333333333,102.33333333333333,44
22,133.80434782608697,475.2391304347826,40
22,122.44444444444444,458.8888888888889,48
22,297.625,352.875,52
22,289.0,234.0,49
22,282.36170212765956,209.48936170212767,19
22,294.82142857142856,210.03571428571428,28
22,288.0,406.5,53
22,133.0909090909091,164.04545454545453,45
22,283.7142857142857,199.64285714285714,54
22,115.7127659574468,33.829787234042556,46
22,130.5,30.0,27
22,286.0,345.0,55
