particle,mean_speed(px/s),total_displacement(px),mean_squared_displacement(px^2),directional_persistence,mean_turn_angle(deg)
43,68.16497035652694,204.49491106958084,124.35218494265804,0.08488097311103392,76.46287790106923
46,5.496083112652775,0.7851547303789679,0.6164679506364698,1.0,103.97811944068299
47,25.17053484051048,10.787372074504493,13.11234398346187,0.9304333615819615,141.8594391589004
48,71.79886587147908,266.68150180835084,142.01402529073331,0.09529226910931422,85.77848475237838
49,61.36242745554022,17.53212213015435,124.4121090048304,0.8847840554880587,130.9758236272769
50,52.39266994554558,127.23934129632498,90.85419102703247,0.19517752517994266,86.51522124187473
52,97.45155899394587,55.68660513939764,208.60608899474857,0.34129329545200726,94.15068383219489
53,58.14708026268392,191.05469229167574,113.30302067537025,0.20733143079807664,77.32111463647186
54,16.590295213945932,4.740084346841695,6.166643361047995,0.6751061790686665,110.83285344488203
55,25.2631723341984,83.0075662409376,26.63037662741959,0.5668820461108581,110.08446912223816
56,69.89398399884011,79.87883885581728,127.76510558129627,0.6936690388583878,95.35057806146773
57,64.09041278012417,302.1405173920139,107.69412878739583,0.5672985522344863,98.14765204778747
59,72.04316132956731,30.87564056981456,142.83396383385752,0.1371861304189109,80.04962379913137
60,61.91255132453597,17.689300378438848,99.74710180429285,0.570817353974987,74.65769149467441
61,7.5223932361978205,1.0746276051711172,1.1548244897958106,1.0,62.95806274087086
62,75.15999984406265,10.737142834866093,115.28623625631629,1.0,91.92935919512838
63,38.352652139369084,10.95790061124831,42.12278444209048,0.6441257014824444,81.95497447983358
66,7.501446813265761,2.1432705180759317,1.1494753952329586,0.5334604689321866,57.80294112627584
68,26.529823119447485,34.10977258214677,17.667922113125776,0.7439727576640478,101.7011092384296
70,20.845310997354698,8.933704713152014,8.95175600602453,0.9835640101020763,97.51258725194516
71,66.97159111734209,19.134740319240596,123.02588952791717,0.5913028601849051,95.30226350336554
72,38.55933073236439,154.23732292945755,52.31654723181869,0.17670889351728625,79.82682971497493
73,26.91374509708925,15.379282912622429,24.628327501674242,0.4432857587714693,103.35126549712793
74,23.042958156034246,19.7511069908865,15.387960556578022,0.7206953546318403,58.48578095199332
75,23.378203395727382,43.416663449207995,47.7277672320434,0.2776132715782813,101.35690215154885
76,55.523329265265836,39.65952090376131,69.70048093821934,0.4395258369443589,108.89110948638181
80,28.49322761724072,36.63414979359521,22.418529971091395,0.9715155245453084,91.11154878377515
81,44.80051150481851,51.20058457693544,64.79797322900185,0.3106569226953745,98.72793883674646
82,51.08445900980288,21.893339575629803,104.15221158039661,0.7943849546608703,71.93271513083815
86,76.28355311623052,21.795300890351577,203.83244565819072,0.8486573607266961,83.29863020555386
87,44.50324040957277,12.715211545592219,40.42780057458417,0.8212061228927198,87.2970019455879
88,31.777961648563444,45.39708806937635,47.29836724550046,0.3967997782193324,100.91678882334928
89,68.94970198384603,29.549872278791153,139.5277858167551,0.738808666286265,150.5737179660746
90,6.968634528559948,0.9955192183657068,0.9910585141354677,1.0,92.06647698564032
91,58.84544796524203,50.43895539877888,76.3807887908257,0.39617606207270434,81.8560996291508
92,10.387090288546277,5.935480164883587,2.4790402077022184,0.6292717361927984,64.03876222300303
94,26.77031566202499,7.648661617721426,14.832163924107887,0.20519707107536664,99.69795961942438
95,29.45966970637043,16.834096975068817,21.99669227738697,0.4039091606362443,97.16473009494965
96,52.53016024190848,82.54739466585619,84.42932916459787,0.2774377098315089,104.88981493083121
97,60.10991402272288,163.15548091881925,104.35145780792003,0.30872471672249685,91.9296422712137
98,35.11318769939907,5.016169671342724,25.161958171698572,1.0,125.99465475564682
99,30.681199026242286,4.383028432320327,19.210938238528378,1.0,38.04126112615386
102,45.929967400568806,19.684271743100915,43.25421131257534,0.6774878467979758,86.08450354085477
104,68.76212279416409,19.646320798332596,97.40081997418865,0.18184915056040155,81.10644144749422
105,47.658994054560026,6.808427722080004,46.35468804678751,1.0,91.18889655992758
106,25.01797287085996,14.295984497634263,21.964039978552243,0.6955162731854426,64.79447216244931
107,44.025716683841225,213.83919532151452,56.320267470682786,0.570930560895239,96.70783860631765
108,44.459129347719504,88.91825869543901,65.85812302517506,0.41893816028717507,95.96338950453591
109,62.932538268878176,323.6530539542306,110.53579394300935,0.07552444721939268,88.55353204345259
110,49.60395789843409,28.345118799105194,64.07533707672249,0.6688063854753991,64.64348678325896
111,21.555226686389606,3.079318098055658,9.482199949013115,1.0,31.496768645659515
113,19.70308223892737,14.073630170662405,15.081326000342974,0.4783950882949142,54.17666557444661
114,68.24492828095623,19.498550937416066,103.98051064557839,0.3150827536295044,85.61250570906878
115,62.78110552117437,44.84364680083884,127.67254507364521,0.7839308051431291,90.40351861481582
116,47.19357169449235,26.967755253995627,90.87173744085739,0.7829998565768214,55.95867587193262
117,51.5458932111535,44.182194180988716,68.13648500859097,0.6756344188730287,111.85555293328127
118,46.41665888724577,72.94046396567192,70.49312282057498,0.38700452086976267,89.04124983962882
120,38.321684792468595,21.89810559569634,33.094640816549436,0.4655018111589226,91.15221229468034
122,72.13629511673497,41.2207400667057,173.7858197681611,0.7363429622834697,68.07361841232611
123,56.04265424038966,240.18280388738424,90.0155507873551,0.1646957852313212,90.58053470467578
124,69.72122743798788,249.00438370709955,113.21912191926471,0.6431160033621491,83.09478010371849
